2024-06-12 17:34:04.444 | INFO  | restartedMain | c.e.f.FrameworkApplication >>>>> Starting FrameworkApplication using Java 17.0.11 with PID 2448 (C:\Users\Administrator\Desktop\SpringBoot_Module\SpringBoot3_JDK17\framework\target\classes started by Administrator in C:\Users\Administrator\Desktop\SpringBoot_Module)
2024-06-12 17:34:04.462 | INFO  | restartedMain | c.e.f.FrameworkApplication >>>>> No active profile set, falling back to 1 default profile: "default"
2024-06-12 17:34:04.527 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-12 17:34:04.528 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-12 17:34:05.627 | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationDelegate >>>>> Multiple Spring Data modules found, entering strict repository configuration mode
2024-06-12 17:34:05.630 | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationDelegate >>>>> Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-06-12 17:34:05.661 | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationDelegate >>>>> Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
2024-06-12 17:34:06.289 | INFO  | restartedMain | o.s.b.w.e.t.TomcatWebServer >>>>> Tomcat initialized with port 9090 (http)
2024-06-12 17:34:06.300 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Initializing ProtocolHandler ["http-nio-9090"]
2024-06-12 17:34:06.303 | INFO  | restartedMain | o.a.c.c.StandardService >>>>> Starting service [Tomcat]
2024-06-12 17:34:06.303 | INFO  | restartedMain | o.a.c.c.StandardEngine >>>>> Starting Servlet engine: [Apache Tomcat/10.1.16]
2024-06-12 17:34:06.361 | INFO  | restartedMain | o.a.c.c.C.[.[.[/] >>>>> Initializing Spring embedded WebApplicationContext
2024-06-12 17:34:06.362 | INFO  | restartedMain | o.s.b.w.s.c.ServletWebServerApplicationContext >>>>> Root WebApplicationContext: initialization completed in 1830 ms
2024-06-12 17:34:08.585 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Starting ProtocolHandler ["http-nio-9090"]
2024-06-12 17:34:26.427 | INFO  | restartedMain | c.e.f.FrameApplication >>>>> Starting FrameApplication using Java 17.0.11 on DESKTOP-2KT6KAH with PID 11176 (C:\Users\Administrator\Desktop\SpringBoot_Module\SpringBoot2_JDK8\frame\target\classes started by Administrator in C:\Users\Administrator\Desktop\SpringBoot_Module)
2024-06-12 17:34:26.454 | INFO  | restartedMain | c.e.f.FrameApplication >>>>> No active profile set, falling back to default profiles: default
2024-06-12 17:34:26.578 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-12 17:34:26.579 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-12 17:34:28.970 | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationDelegate >>>>> Multiple Spring Data modules found, entering strict repository configuration mode!
2024-06-12 17:34:28.975 | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationDelegate >>>>> Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-06-12 17:34:29.014 | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationDelegate >>>>> Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2024-06-12 17:34:29.430 | WARN  | restartedMain | o.m.s.m.ClassPathMapperScanner >>>>> No MyBatis mapper was found in '[com.example.frame]' package. Please check your configuration.
